"Prebivalci Slovenije po udeleženosti na turistiènih potovanjih (v 1000)"
"po: ÈETRTLETJE, MERITVE , MESEÈNI NETO DOHODEK NA ÈLANA GOSPODINJSTVA"

" ";"Šli na turistièno potovanje (zasebno in/ali poslovno)";" ";" ";" ";" ";"Šli na zasebno potovanje";" ";" ";" ";" "
" ";"1. kvartil";"2. kvartil";"3. kvartil";"4. kvartil";"Ni podatka";"1. kvartil";"2. kvartil";"3. kvartil";"4. kvartil";"Ni podatka"
"2006Q1";50M;84;111;170;95;42M;77;101;149;74
"2006Q2";65M;92;117;182;108;62M;81;108;159;92
"2006Q3";143;187;202;269;184;140;184;202;257;180
"2006Q4";50;65;81;138;114;42;56;71;114;98
"2007Q1";42M;61M;81;116;145;34M;55M;68;102;123
"2007Q2";34M;64M;80;147;125;32M;54M;64M;124;112
"2007Q3";139;174;175;236;269;131;172;172;233;265
"2007Q4";42;59;73;140;137;34M;53;63;113;115
"2008Q1";46M;45M;87;137;107;42M;41M;71;116;96
"2008Q2";49M;88;113;174;119;43M;74;97;152;100
"2008Q3";122;143;170;221;252;118;138;165;216;247
"2008Q4";48;62;78;163;112;42;55;69;135;93
"2009Q1";36M;61M;72;156;90;34M;55M;66M;136;76
"2009Q2";57M;75;122;175;123;53M;71M;111;155;108
"2009Q3";123;159;205;253;204;123;158;204;248;201
"2009Q4";48;65;98;141;90;40;59;87;117;77
"2010Q1";50M;60M;81;154;100;43M;56M;70;132;87
"2010Q2";59M;100;144;192;147;57M;89;131;170;130
"2010Q3";139;161;211;251;242;132;159;209;249;238
"2010Q4";33M;55;80;138;106;28M;48;66;118;88
"2011Q1";45M;53M;90;138;102;39M;50M;82;118;85
"2011Q2";72M;90;133;202;98;65M;76;115;180;81
"2011Q3";118;155;199;239;303;117;154;197;237;300
"2011Q4";32M;68;80;132;131;28M;61;74;114;114
"2012Q1";24M;28M;56;93;133;N;27M;52;82;112
"2012Q2";59;75;118;170;157;55;67;114;149;135
"2012Q3";104;154;181;222;278;104;154;181;219;274
"2012Q4";34;47;70;130;164;27M;42;62;118;132
"2013Q1";26M;44M;68;101;146;25M;43M;59;91;132
"2013Q2";56;62;104;147;147;52M;58;96;140;136
"2013Q3";102;146;181;215;287;102;146;181;215;283
"2013Q4";30;46;65;115;161;25;41;59;103;133
"2014Q1";42M;49;72;117;156;38M;44M;63;102;130
"2014Q2";39M;59;83;148;210;39M;58;78;133;192
"2014Q3";88;144;151;218;243;86;142;150;213;239
"2014Q4";35;56;88;119;123;29M;52;71;98;103
"2015Q1";29M;44M;73;137;113;N;44M;59M;112;103
"2015Q2";50M;90;123;166;189;48M;87;108;146;176
"2015Q3";127;153;170;215;288;126;149;169;210;280
"2015Q4";32;44;76;109;125;30M;36;69;83;114
"2016Q1";27M;42M;68;123;120;23M;40M;64;108;111
"2016Q2";60;61;116;151;188;57M;56M;106;131;166
"2016Q3";131;146;193;196;329;131;144;192;191;324
"2016Q4";40;40;82;130;170;38;40;74;116;146

"Vir: Statistièni urad Republike Slovenije "
" "
"Podatki so ocene, pridobljene z anketo, na vzorcu, ki predstavlja "
"celotno populacijo prebivalcev Slovenije, starih 15 let ali veè. "
" "
"Seštevki se zaradi zaokroževanja vedno ne ujemajo. "
" "

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/statweb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8262 target=_blank) Metodološka pojasnila "

