"Struktura izdatkov po: ÈETRTLETJE, MERITVE, VRSTA TURISTIÈNEGA"
"POTOVANJA, DESTINACIJA , IZDATKI"

" ";"Povpreèni izdatki na turista na prenoèitev  (EUR)";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Zasebna potovanja";" ";" ";" ";" ";" ";" ";" ";" ";" ";"Poslovna potovanja";" ";" ";" ";" ";" ";" ";" ";" ";" "
" ";"Slovenija";" ";" ";" ";" ";"Tujina";" ";" ";" ";" ";"Slovenija";" ";" ";" ";" ";"Tujina";" ";" ";" ";" "
" ";"Izdatki - SKUPAJ";"Izdatki za prevoz";"Izdatki za nastanitev";"Izdatki za hrano in pijaèo v restavracijah ali lokalih";"Izdatki za druge aktivnosti, storitve, nakupe";"Izdatki - SKUPAJ";"Izdatki za prevoz";"Izdatki za nastanitev";"Izdatki za hrano in pijaèo v restavracijah ali lokalih";"Izdatki za druge aktivnosti, storitve, nakupe";"Izdatki - SKUPAJ";"Izdatki za prevoz";"Izdatki za nastanitev";"Izdatki za hrano in pijaèo v restavracijah ali lokalih";"Izdatki za druge aktivnosti, storitve, nakupe";"Izdatki - SKUPAJ";"Izdatki za prevoz";"Izdatki za nastanitev";"Izdatki za hrano in pijaèo v restavracijah ali lokalih";"Izdatki za druge aktivnosti, storitve, nakupe"
"2012Q1";36.14;5.54;18.10;4.44;8.06;62.56;22.70;18.67;8.21;12.98;N;N;N;N;N;194.16M;86.15M;65.42M;24.79M;17.80M
"2012Q2";34.42;8.03;13.32;6.34;6.72;58.40;19.84;16.86;10.06;11.65;91.19M;18.86M;49.10M;15.50M;7.73M;161.89;68.69;56.14;18.60;18.46
"2012Q3";31.48;5.19;14.00;6.42;5.87;42.01;10.23;16.21;7.53;8.05;N;N;N;N;N;203.26M;86.33M;63.87M;32.44M;20.62M
"2012Q4";33.59;7.29;13.51;5.77;7.02;67.77;24.78;19.52;11.70;11.78;111.19;24.75;47.01;17.46;21.96;178.60;71.25;63.10;27.29;16.95
"2013Q1";40.11;6.52;18.02;6.78;8.78;66.36;22.38;17.03;10.76;16.21;N;N;N;N;N;133.97M;54.28M;46.05M;21.17M;12.48M
"2013Q2";33.03;7.50;12.02;6.37;7.14;54.55;17.17;16.70;8.63;12.05;N;N;N;N;N;170.97M;79.76M;52.55M;23.15M;15.51M
"2013Q3";31.04;4.93;12.48;5.88;7.75;40.34;10.32;14.84;6.12;9.06;N;N;N;N;N;151.43M;55.52M;51.17M;19.12M;25.62M
"2013Q4";37.76;8.01;15.93;5.93;7.88;68.63;26.40;18.76;10.90;12.57;90.64M;15.73M;44.21M;13.21M;17.50M;153.07;58.63;53.38;18.36;22.70
"2014Q1";36.57;5.88;15.72;6.37;8.60;69.17;22.93;20.46;9.98;15.80;N;N;N;N;N;147.21;64.03;50.85;18.49;13.84
"2014Q2";33.38;6.63;12.53;7.10;7.12;58.05;20.15;16.55;9.76;11.59;N;N;N;N;N;238.72M;116.67M;87.17M;17.91M;16.97M
"2014Q3";37.56;5.94;15.97;8.30;7.35;40.70;11.09;15.35;6.10;8.16;N;N;N;N;N;177.04M;74.03M;52.81M;29.44M;20.76M
"2014Q4";36.91;6.55;16.63;5.81;7.93;59.18;20.41;15.86;10.46;12.44;139.26M;20.94M;63.76M;15.94M;38.62M;170.62;54.20;74.29;25.78;16.35
"2015Q1";40.80;5.80;18.15;5.63;11.22;62.26;19.49;21.12;10.17;11.48;N;N;N;N;N;168.10M;70.39M;63.63M;22.97M;11.10M
"2015Q2";34.16;6.13;16.80;6.06;5.18;57.61;18.56;17.60;10.40;11.05;N;N;N;N;N;165.31;67.59;68.99;21.25;7.47
"2015Q3";31.00;4.60;14.32;5.83;6.25;38.16;8.36;15.62;6.52;7.65;N;N;N;N;N;143.58M;41.74M;58.41M;23.64M;19.80M
"2015Q4";40.37;5.53;23.10;6.20;5.53;73.99;24.59;26.59;10.49;12.32;100.46M;20.59M;52.12M;15.26M;12.50M;213.07;81.04;77.37;28.18;26.48
"2016Q1";37.08;4.78;19.77;5.63;6.90;66.09;24.37;19.68;9.71;12.33;N;N;N;N;N;140.64M;63.00M;48.86M;18.20M;10.58M
"2016Q2";37.03;5.92;17.56;6.22;7.33;56.62;18.98;18.67;8.64;10.34;N;N;N;N;N;192.36;68.07;78.34;31.37;14.59
"2016Q3";32.40;4.20;14.87;6.84;6.49;37.71;8.27;15.02;6.59;7.84;N;N;N;N;N;196.96M;80.80M;67.63M;28.87M;19.67M
"2016Q4";39.65;6.59;19.06;6.94;7.05;69.45;25.45;19.50;11.03;13.46;101.90M;20.13M;53.31M;14.43M;14.03M;187.09;78.75;73.05;17.48;17.82
"2017Q1";46.60;6.05;25.72;6.56;8.27;58.56;18.90;18.80;7.88;12.98;121.08;23.79;78.14;14.32;N;224.04;95.70;70.02;21.78;N
"2017Q2";41.76;7.89;20.74;7.56;5.57;54.59;16.64;18.11;10.12;9.73;129.92;25.69;56.14;38.08;10.01;163.37;45.92;67.51;24.68;N

"Vir: Statistièni urad Republike Slovenije "
" "
"Podatki so ocene, pridobljene z anketo, na vzorcu, ki predstavlja "
"celotno populacijo prebivalcev Slovenije, starih 15 let ali veè."

"Povezane vsebine: "
" "
"- (seznam "
"HREF=http://www.stat.si/statweb/Common/PrikaziDokument.ashx?IdDatotek-"
"e=8262 target=_blank) Metodološka pojasnila "

