"TIME","GEO","DURATION","PURPOSE","DEST","TINFO","UNIT","Value","Flag and Footnotes"
"2006Q1","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","43,851",""
"2006Q1","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","19,742",""
"2006Q1","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","2,923",""
"2006Q1","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro","75",""
"2006Q1","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","62,934",""
"2006Q1","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","17,319",""
"2006Q1","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","28,586",""
"2006Q1","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","21,692",""
"2006Q1","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","4,597",""
"2006Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","3,114",""
"2006Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro",":",""
"2006Q1","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro",":",""
"2006Q1","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","39,958",""
"2006Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","19,691",""
"2006Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","8,067",""
"2006Q1","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","4,136",""
"2006Q2","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","36,434",""
"2006Q2","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","10,726",""
"2006Q2","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","3,386",""
"2006Q2","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro","85",""
"2006Q2","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","90,229",""
"2006Q2","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","25,028",""
"2006Q2","Slovenia","1 night or over","Personal","Outbound trips","Use of travel agent, tour operator","Thousand euro","35,670",""
"2006Q2","Slovenia","1 night or over","Personal","Outbound trips","Package travel","Thousand euro","30,853",""
"2006Q2","Slovenia","1 night or over","Professional, business","Domestic trips","NS - Total","Thousand euro","11,680",""
"2006Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","5,373",""
"2006Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Use of travel agent, tour operator","Thousand euro","1,018",""
"2006Q2","Slovenia","1 night or over","Professional, business","Domestic trips","Package travel","Thousand euro","1,018",""
"2006Q2","Slovenia","1 night or over","Professional, business","Outbound trips","NS - Total","Thousand euro","46,919",""
"2006Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","21,402",""
"2006Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Use of travel agent, tour operator","Thousand euro","15,252",""
"2006Q2","Slovenia","1 night or over","Professional, business","Outbound trips","Package travel","Thousand euro","8,548",""
"2006Q3","Slovenia","1 night or over","Personal","Domestic trips","NS - Total","Thousand euro","56,651",""
"2006Q3","Slovenia","1 night or over","Personal","Domestic trips","Direct reservation with transport/accommodation operator","Thousand euro","28,178",""
"2006Q3","Slovenia","1 night or over","Personal","Domestic trips","Use of travel agent, tour operator","Thousand euro","2,451",""
"2006Q3","Slovenia","1 night or over","Personal","Domestic trips","Package travel","Thousand euro",":",""
"2006Q3","Slovenia","1 night or over","Personal","Outbound trips","NS - Total","Thousand euro","296,289",""
"2006Q3","Slovenia","1 night or over","Personal","Outbound trips","Direct reservation with transport/accommodation operator","Thousand euro","111,970",""
